EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
327075.15625,406153.9375,750000.0625,311450.375,338570.03125,313503.71875,341871.03125,308347.78125,0.030517578125,0.96533203125,0.017333984375,-7.324218273162842,10.559081077575684,4.547118663787842,20.0,25.0,1.0,Rest
319291.5625,396662.3125,750000.0625,304020.75,330553.53125,306098.9375,333753.84375,301067.09375,0.029052734375,0.96728515625,0.0146484375,-7.263183116912842,10.559081077575684,4.425048351287842,20.0,26.0,1.0,Rest
312093.5,387893.875,750000.0625,297137.21875,323117.71875,299214.59375,326238.5625,294307.03125,0.024169921875,0.97021484375,0.012451171875,-7.324218273162842,10.437010765075684,4.089354991912842,20.0,27.0,1.0,Rest
305386.625,379670.15625,750000.0625,290708.0625,316163.84375,292797.40625,319232.90625,287975.15625,0.02099609375,0.971923828125,0.015625,-7.476806163787842,10.314940452575684,3.997802495956421,20.0,28.0,1.0,Rest
299099.53125,371878.25,750000.0625,284677.65625,309632.5625,286738.28125,312654.96875,282042.0,0.0205078125,0.97705078125,0.01416015625,-7.690429210662842,10.040282249450684,3.753661870956421,20.0,29.0,1.0,Rest
293227.625,364627.5,750000.0625,279077.0,303545.65625,281097.875,306521.8125,276550.625,0.0185546875,0.980224609375,0.011474609375,-7.843017101287842,9.796141624450684,3.692626714706421,20.0,30.0,1.0,Rest
287738.5,357929.84375,750000.0625,273826.40625,297876.875,275853.71875,300814.0,271367.0,0.0166015625,0.98388671875,0.00927734375,-8.117674827575684,9.429930686950684,3.326415777206421,20.0,31.0,1.0,Rest
282595.875,351669.40625,747383.875,268886.40625,292557.625,270935.25,295463.625,266533.9375,0.01611328125,0.982666015625,0.009033203125,-8.361815452575684,9.216307640075684,3.112792730331421,20.0,32.0,1.0,Rest
277776.75,345752.53125,732467.875,264284.96875,287554.75,266311.9375,290422.84375,261997.0625,0.02099609375,0.98291015625,0.004638671875,-8.575438499450684,9.002684593200684,2.960204839706421,20.0,33.0,1.0,Rest
273261.09375,340146.90625,718334.6875,259974.765625,282863.125,261976.140625,285711.09375,257746.375,0.02001953125,0.985107421875,0.00732421875,-8.758543968200684,8.758543968200684,2.807616949081421,20.0,34.0,1.0,Rest
268985.71875,334851.15625,704978.8125,255895.65625,278444.90625,257900.609375,281278.75,253739.609375,0.020263671875,0.986083984375,0.00439453125,-9.002684593200684,8.605956077575684,2.593993902206421,20.0,35.0,1.0,Rest
264975.125,329934.65625,692535.5625,252069.03125,274305.8125,254069.078125,277100.03125,249958.59375,0.021728515625,0.989990234375,0.0048828125,-9.216307640075684,8.270262718200684,2.532958745956421,20.0,36.0,1.0,Rest
261196.515625,325340.21875,680934.6875,248456.8125,270403.5625,250441.828125,273143.0625,246388.03125,0.023193359375,0.9912109375,0.005859375,-9.399413108825684,8.026122093200684,2.532958745956421,20.0,37.0,1.0,Rest
257618.53125,320949.6875,669933.0625,245034.9375,266708.1875,247022.28125,269422.03125,243030.34375,0.022705078125,0.991943359375,0.00390625,-9.704588890075684,7.843017101287842,2.471923589706421,20.0,38.0,1.0,Rest
