EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
750000.0625,750000.0625,512474.75,629053.9375,-198790.4375,750000.0625,750000.0625,750000.0625,-0.15087890625,0.90966796875,0.106201171875,0.0,0.0,0.0,66.66667175292969,1.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,574036.375,750000.0625,750000.0625,750000.0625,-0.158447265625,0.930419921875,0.096923828125,0.0,0.0,0.0,66.66667175292969,2.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.160400390625,0.943359375,0.10009765625,0.0,0.0,0.0,66.66667175292969,3.0,1.0,Rest
747094.9375,575099.3125,750000.0625,750000.0625,473815.53125,750000.0625,750000.0625,750000.0625,-0.162353515625,0.949462890625,0.103515625,0.0,0.0,0.0,66.66667175292969,4.0,1.0,Rest
746974.125,432124.15625,750000.0625,750000.0625,-154163.296875,750000.0625,750000.0625,714977.6875,-0.165283203125,0.957763671875,0.106689453125,0.0,0.0,0.0,66.66667175292969,5.0,1.0,Rest
728793.125,466842.65625,262493.34375,739949.1875,-171052.8125,750000.0625,750000.0625,741497.0625,-0.168212890625,0.964111328125,0.110107421875,0.0,0.0,0.0,66.66667175292969,6.0,1.0,Rest
745219.375,711504.5,-471380.96875,750000.0625,-30873.482421875,750000.0625,750000.0625,750000.0625,-0.173095703125,0.96533203125,0.111572265625,-9.307860374450684,-5.889892101287842,-10.223387718200684,66.66667175292969,7.0,1.0,Rest
750000.0625,750000.0625,467801.8125,750000.0625,-73634.3359375,750000.0625,750000.0625,750000.0625,-0.178466796875,0.965576171875,0.1142578125,-9.979247093200684,-4.882812023162842,-10.437010765075684,66.66667175292969,8.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,-653714.875,750000.0625,750000.0625,750000.0625,-0.18408203125,0.962646484375,0.115966796875,-10.498045921325684,-4.425048351287842,-11.199950218200684,66.66667175292969,9.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,-750000.125,750000.0625,750000.0625,750000.0625,-0.18798828125,0.963134765625,0.120849609375,-10.803221702575684,-3.967284917831421,-11.688231468200684,66.66667175292969,10.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,-750000.125,750000.0625,750000.0625,750000.0625,-0.1943359375,0.96337890625,0.122802734375,-10.772704124450684,-3.601073980331421,-12.115477561950684,66.66667175292969,11.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,-750000.125,750000.0625,750000.0625,750000.0625,-0.196044921875,0.966552734375,0.126708984375,-10.742186546325684,-3.173827886581421,-12.481688499450684,66.66667175292969,12.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,-750000.125,750000.0625,750000.0625,750000.0625,-0.201416015625,0.969482421875,0.130615234375,-10.711668968200684,-2.899169683456421,-12.573241233825684,66.66667175292969,13.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,-619802.0,750000.0625,750000.0625,750000.0625,-0.204345703125,0.97509765625,0.13427734375,-10.681151390075684,-2.532958745956421,-12.817381858825684,66.66667175292969,14.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,-438910.84375,750000.0625,750000.0625,750000.0625,-0.2080078125,0.979248046875,0.135986328125,-10.711668968200684,-2.288818120956421,-13.122557640075684,66.66667175292969,15.0,1.0,Rest
739774.125,750000.0625,750000.0625,750000.0625,-314092.28125,673836.8125,690394.375,697841.6875,-0.213623046875,0.984619140625,0.13623046875,-10.711668968200684,-1.9836424589157104,-13.244627952575684,66.66667175292969,16.0,1.0,Rest
634940.3125,713266.625,750000.0625,750000.0625,-224317.828125,579356.625,592149.875,599358.6875,-0.21337890625,0.9873046875,0.1376953125,-10.620116233825684,-1.6479490995407104,-13.458250999450684,66.66667175292969,17.0,1.0,Rest
550259.125,621126.3125,750000.0625,750000.0625,-157751.375,502904.34375,512748.5,519733.15625,-0.213623046875,0.988037109375,0.14404296875,-10.620116233825684,-1.3122557401657104,-13.641356468200684,66.66667175292969,18.0,1.0,Rest
479533.28125,543732.5,750000.0625,750000.0625,-107028.7421875,438919.875,446635.53125,453109.40625,-0.2119140625,0.987548828125,0.14990234375,-10.681151390075684,-1.0375975370407104,-13.885497093200684,66.66667175292969,19.0,1.0,Rest
427458.0,486426.65625,750000.0625,750000.0625,-69616.03125,391672.21875,398065.28125,404066.28125,-0.211669921875,0.980224609375,0.15576171875,-10.772704124450684,-0.7629393935203552,-13.916014671325684,66.66667175292969,20.0,1.0,Rest
406094.8125,463475.96875,750000.0625,750000.0625,-43625.421875,372452.6875,378064.84375,384213.8125,-0.20947265625,0.97265625,0.154541015625,-10.894774436950684,-0.4882812201976776,-13.854979515075684,66.66667175292969,21.0,1.0,Rest
394300.15625,451496.40625,750000.0625,750000.0625,-22072.169921875,362048.84375,366972.84375,373241.34375,-0.208740234375,0.96728515625,0.152587890625,-10.620116233825684,-0.2136230319738388,-13.519286155700684,66.66667175292969,22.0,1.0,Rest
383560.25,440589.84375,750000.0625,750000.0625,-2515.644287109375,352568.03125,356947.625,363307.6875,-0.210693359375,0.96044921875,0.1572265625,-10.314940452575684,0.1220703050494194,-13.092040061950684,66.66667175292969,23.0,1.0,Rest
373550.25,430427.125,750000.0625,750000.0625,15171.6494140625,343735.78125,347663.625,354099.3125,-0.216796875,0.9521484375,0.15625,-9.979247093200684,0.4577636420726776,-12.603758811950684,66.66667175292969,24.0,1.0,Rest
364342.9375,420888.28125,750000.0625,750000.0625,30703.609375,335506.0625,339054.875,345487.09375,-0.21728515625,0.943603515625,0.155029296875,-9.368895530700684,0.7019042372703552,-12.023924827575684,66.66667175292969,25.0,1.0,Rest
355799.1875,411878.46875,750000.0625,750000.0625,44163.83203125,327827.5,331043.9375,337415.875,-0.223876953125,0.93505859375,0.155517578125,-8.758543968200684,1.0375975370407104,-11.383055686950684,66.66667175292969,26.0,1.0,Rest
347832.78125,403477.625,750000.0625,750000.0625,56157.95703125,320694.53125,323625.1875,329926.53125,-0.2255859375,0.927734375,0.155029296875,-7.934569835662842,1.3427733182907104,-10.650633811950684,66.66667175292969,27.0,1.0,Rest
340439.78125,395767.6875,750000.0625,750000.0625,67318.8046875,314098.4375,316752.3125,323022.6875,-0.22998046875,0.924560546875,0.16064453125,-6.866454601287842,1.5258787870407104,-9.735106468200684,66.66667175292969,28.0,1.0,Rest
333548.03125,388586.34375,750000.0625,750000.0625,77581.65625,307939.8125,310342.09375,316548.8125,-0.236083984375,0.924560546875,0.16162109375,-5.798339366912842,1.6174315214157104,-8.911131858825684,66.66667175292969,29.0,1.0,Rest
327089.46875,381741.71875,750000.0625,750000.0625,86605.234375,302142.3125,304324.65625,310448.59375,-0.240478515625,0.923583984375,0.165771484375,-4.821776866912842,1.7089842557907104,-7.995604991912842,66.66667175292969,30.0,1.0,Rest
321016.9375,375178.53125,750000.0625,750000.0625,94376.21875,296676.5,298688.0625,304695.25,-0.2470703125,0.92333984375,0.16796875,-3.662109136581421,1.8005369901657104,-6.958007335662842,66.66667175292969,31.0,1.0,Rest
315334.03125,369054.6875,750000.0625,750000.0625,101364.0,291582.0,293429.0625,299339.03125,-0.252197265625,0.926513671875,0.16845703125,-2.655029058456421,1.6479490995407104,-6.011962413787842,66.66667175292969,32.0,1.0,Rest
310028.8125,363415.0625,750000.0625,750000.0625,108036.984375,286818.21875,288512.5,294371.78125,-0.25537109375,0.93310546875,0.1669921875,-1.5869139432907104,1.4648436307907104,-4.974364757537842,66.66667175292969,33.0,1.0,Rest
305041.78125,358133.25,750000.0625,750000.0625,114346.96875,282337.6875,283875.75,289697.40625,-0.26220703125,0.94091796875,0.16943359375,-0.7324218153953552,1.2207030057907104,-4.119872570037842,66.66667175292969,34.0,1.0,Rest
300332.09375,353042.15625,750000.0625,750000.0625,119877.8671875,278077.96875,279481.125,285229.375,-0.265869140625,0.946533203125,0.16943359375,0.0,0.7934569716453552,-3.234863042831421,66.66667175292969,35.0,1.0,Rest
