EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
750000.0625,486810.125,750000.0625,254323.53125,-233825.90625,251038.4375,750000.0625,-750000.125,-0.42919921875,0.919677734375,-0.016845703125,0.0,0.0,0.0,66.66667175292969,1.0,1.0,Rest
750000.0625,750000.0625,750000.0625,-325670.375,-364044.40625,406664.53125,750000.0625,213998.203125,-0.460693359375,0.93359375,-0.028076171875,0.0,0.0,0.0,66.66667175292969,2.0,1.0,Rest
750000.0625,750000.0625,750000.0625,281411.0625,-261559.859375,96257.609375,750000.0625,750000.0625,-0.47802734375,0.936279296875,-0.026611328125,0.0,0.0,0.0,66.66667175292969,3.0,1.0,Rest
748108.375,750000.0625,582833.1875,747049.8125,-206906.4375,-492520.25,750000.0625,750000.0625,-0.499755859375,0.934814453125,-0.02294921875,0.0,0.0,0.0,66.66667175292969,4.0,1.0,Rest
748947.0,574501.625,720391.9375,187894.671875,-131612.0,-621039.125,750000.0625,750000.0625,-0.52392578125,0.9296875,-0.0087890625,0.0,0.0,0.0,66.66667175292969,5.0,1.0,Rest
732510.75,272039.59375,750000.0625,303412.875,-90002.5234375,79118.5625,750000.0625,750000.0625,-0.541015625,0.92236328125,0.006591796875,0.0,0.0,0.0,66.66667175292969,6.0,1.0,Rest
750000.0625,31368.619140625,750000.0625,599705.9375,36968.71484375,601102.0,750000.0625,750000.0625,-0.556884765625,0.927001953125,0.029296875,-17.242429733276367,0.03051757626235485,8.270262718200684,66.66667175292969,7.0,1.0,Rest
750000.0625,141362.359375,750000.0625,632240.375,183243.0,750000.0625,750000.0625,750000.0625,-0.56005859375,0.939208984375,0.049560546875,-26.184080123901367,6.713866710662842,24.627683639526367,66.66667175292969,8.0,1.0,Rest
750000.0625,265303.78125,750000.0625,665053.8125,259820.0,750000.0625,750000.0625,750000.0625,-0.551025390625,0.9482421875,0.060302734375,-32.104488372802734,8.422850608825684,30.212400436401367,66.66667175292969,9.0,1.0,Rest
750000.0625,-231310.4375,750000.0625,649062.5,317270.59375,750000.0625,750000.0625,750000.0625,-0.54248046875,0.945556640625,0.05810546875,-36.560054779052734,8.941649436950684,33.691402435302734,66.66667175292969,10.0,1.0,Rest
750000.0625,-750000.125,750000.0625,662201.125,417320.78125,750000.0625,750000.0625,750000.0625,-0.537353515625,0.92578125,0.048583984375,-40.252681732177734,8.850096702575684,36.773677825927734,66.66667175292969,11.0,1.0,Rest
750000.0625,-750000.125,750000.0625,750000.0625,520530.21875,750000.0625,750000.0625,750000.0625,-0.5322265625,0.897216796875,0.034912109375,-43.243404388427734,8.544920921325684,39.916988372802734,66.66667175292969,12.0,1.0,Rest
750000.0625,-750000.125,750000.0625,750000.0625,601049.25,676726.125,750000.0625,750000.0625,-0.53369140625,0.85888671875,0.0263671875,-45.318599700927734,7.781981945037842,43.121334075927734,66.66667175292969,13.0,1.0,Rest
750000.0625,-483122.15625,750000.0625,750000.0625,651303.375,575866.25,750000.0625,750000.0625,-0.54248046875,0.81640625,0.021240234375,-46.051021575927734,7.110595226287842,45.593257904052734,66.66667175292969,14.0,1.0,Rest
750000.0625,-299860.1875,750000.0625,750000.0625,750000.0625,500467.46875,750000.0625,735892.125,-0.55859375,0.77685546875,0.019287109375,-45.440670013427734,6.408690929412842,47.149654388427734,66.66667175292969,15.0,1.0,Rest
721478.5625,-178966.5,750000.0625,750000.0625,750000.0625,440894.15625,704801.75,625528.0,-0.577880859375,0.745361328125,0.02685546875,-44.097896575927734,5.493163585662842,47.790523529052734,66.66667175292969,16.0,1.0,Rest
618436.4375,-96823.3828125,750000.0625,750000.0625,750000.0625,391608.46875,603842.625,539376.0625,-0.589599609375,0.718505859375,0.036865234375,-42.022701263427734,4.302978038787842,47.454830169677734,66.66667175292969,17.0,1.0,Rest
535228.9375,-39778.77734375,750000.0625,750000.0625,750000.0625,349275.71875,522272.125,469102.78125,-0.593994140625,0.703125,0.049072265625,-39.611812591552734,2.990722417831421,46.966548919677734,66.66667175292969,18.0,1.0,Rest
465882.78125,482.2612609863281,750000.0625,750000.0625,685336.375,312293.59375,454292.25,409893.5625,-0.5888671875,0.700439453125,0.058837890625,-36.560054779052734,1.9836424589157104,46.325679779052734,66.66667175292969,19.0,1.0,Rest
413454.1875,28867.546875,750000.0625,750000.0625,590797.75,283786.0625,403043.0,365489.03125,-0.58544921875,0.71240234375,0.073974609375,-33.294673919677734,1.1596678495407104,45.776363372802734,66.66667175292969,20.0,1.0,Rest
390926.9375,51703.07421875,750000.0625,750000.0625,543292.0625,273775.71875,381042.53125,347041.25,-0.58203125,0.728271484375,0.0869140625,-30.700681686401367,0.0610351525247097,45.532222747802734,66.66667175292969,21.0,1.0,Rest
379351.84375,71654.78125,750000.0625,750000.0625,514159.4375,270537.40625,369705.125,337934.6875,-0.57666015625,0.745849609375,0.09619140625,-28.533933639526367,-1.1291502714157104,45.043941497802734,66.66667175292969,22.0,1.0,Rest
368823.84375,89043.0078125,750000.0625,750000.0625,488767.125,267361.125,359519.4375,329624.40625,-0.57080078125,0.763671875,0.112548828125,-26.428220748901367,-2.136230230331421,44.586177825927734,66.66667175292969,23.0,1.0,Rest
359188.34375,104024.6640625,750000.0625,750000.0625,466014.9375,264104.75,350097.28125,321784.125,-0.56103515625,0.784423828125,0.121337890625,-24.810789108276367,-2.990722417831421,44.342037200927734,66.66667175292969,24.0,1.0,Rest
350273.40625,116820.59375,750000.0625,750000.0625,445127.78125,260725.59375,341383.03125,314493.625,-0.552734375,0.801025390625,0.13037109375,-23.376462936401367,-4.028319835662842,44.189449310302734,66.66667175292969,25.0,1.0,Rest
341994.03125,127862.1796875,750000.0625,745250.625,425974.03125,257507.3125,333312.09375,307684.46875,-0.5419921875,0.81982421875,0.1328125,-22.186277389526367,-4.821776866912842,44.036861419677734,66.66667175292969,26.0,1.0,Rest
334319.34375,137663.78125,750000.0625,731159.75,408820.9375,254442.25,325850.8125,301375.125,-0.534423828125,0.837890625,0.135986328125,-21.423337936401367,-5.493163585662842,44.342037200927734,66.66667175292969,27.0,1.0,Rest
327173.59375,146452.125,750000.0625,718009.25,393589.5625,251451.140625,318901.28125,295520.75,-0.523193359375,0.85205078125,0.138671875,-20.721433639526367,-6.011962413787842,44.830318450927734,66.66667175292969,28.0,1.0,Rest
320471.625,154098.65625,750000.0625,705522.9375,379697.15625,248496.609375,312386.75,289931.5625,-0.516845703125,0.864501953125,0.13720703125,-20.141599655151367,-6.591796398162842,45.440670013427734,66.66667175292969,29.0,1.0,Rest
314204.3125,160612.40625,750000.0625,693586.625,366693.875,245570.40625,306250.21875,284596.5625,-0.508056640625,0.8779296875,0.1416015625,-19.561765670776367,-7.171630382537842,45.989986419677734,66.66667175292969,30.0,1.0,Rest
308355.65625,166299.125,750000.0625,682248.4375,354594.25,242789.484375,300584.5625,279640.28125,-0.500732421875,0.886474609375,0.144287109375,-19.134519577026367,-7.598876476287842,46.600337982177734,66.66667175292969,31.0,1.0,Rest
302902.375,171512.453125,750000.0625,671598.9375,343728.90625,240167.09375,295308.59375,275065.59375,-0.498046875,0.891357421875,0.143798828125,-18.554685592651367,-8.087157249450684,47.332759857177734,66.66667175292969,32.0,1.0,Rest
297765.5625,176294.46875,750000.0625,661603.625,334113.8125,237661.734375,290338.09375,270786.75,-0.49365234375,0.8916015625,0.140869140625,-17.913816452026367,-8.422850608825684,47.912593841552734,66.66667175292969,33.0,1.0,Rest
292938.84375,180489.359375,750000.0625,652074.6875,325283.4375,235219.21875,285643.78125,266703.0,-0.491455078125,0.8896484375,0.142822265625,-17.059324264526367,-8.850096702575684,48.278804779052734,66.66667175292969,34.0,1.0,Rest
288396.34375,184045.078125,750000.0625,642895.5625,316792.90625,232833.21875,281209.0,262785.34375,-0.492431640625,0.887939453125,0.147705078125,-16.265867233276367,-9.338377952575684,48.492427825927734,66.66667175292969,35.0,1.0,Rest
284129.5,187164.84375,750000.0625,634174.25,308764.875,230554.046875,277059.625,259100.625,-0.491943359375,0.888671875,0.15283203125,-15.594481468200684,-9.796141624450684,48.736568450927734,66.66667175292969,36.0,1.0,Rest
