EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
519888.8125,554201.9375,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.026611328125,0.939697265625,-0.335205078125,-3.997802495956421,-1.4953612089157104,-0.2441406100988388,73.33333587646484,29.0,1.0,WarmUp
509494.09375,542197.125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.02685546875,0.9404296875,-0.337158203125,-3.997802495956421,-1.6479490995407104,-0.3356933295726776,73.33333587646484,30.0,1.0,WarmUp
500518.0,531521.625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.024658203125,0.944580078125,-0.3369140625,-4.150390148162842,-1.7089842557907104,-0.3967284858226776,73.33333587646484,31.0,1.0,WarmUp
493016.84375,522346.625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.02490234375,0.946533203125,-0.33740234375,-4.089354991912842,-2.014159917831421,-0.6408690810203552,73.33333587646484,32.0,1.0,WarmUp
485823.59375,513781.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.0263671875,0.949951171875,-0.337158203125,-4.150390148162842,-2.136230230331421,-0.7019042372703552,73.33333587646484,33.0,1.0,WarmUp
478084.4375,505008.28125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.026123046875,0.953369140625,-0.337890625,-4.119872570037842,-2.319335699081421,-0.8239745497703552,73.33333587646484,34.0,1.0,WarmUp
470389.28125,496345.46875,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.027587890625,0.955322265625,-0.337158203125,-4.272460460662842,-2.441406011581421,-0.9155272841453552,73.33333587646484,35.0,1.0,WarmUp
463837.4375,488663.59375,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.029541015625,0.9541015625,-0.335205078125,-4.302978038787842,-2.593993902206421,-0.9765624403953552,73.33333587646484,36.0,1.0,WarmUp
458495.28125,482168.09375,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.03125,0.95361328125,-0.3349609375,-4.364013195037842,-2.716064214706421,-1.0070799589157104,73.33333587646484,37.0,1.0,WarmUp
453326.375,476087.34375,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.028564453125,0.94970703125,-0.336669921875,-4.364013195037842,-2.746581792831421,-1.0986326932907104,73.33333587646484,38.0,1.0,WarmUp
