EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
474022.75,24653.88671875,750000.0625,170605.0625,-274008.15625,208136.859375,332958.125,-18207.017578125,-0.080078125,0.957275390625,-0.121337890625,0.0,0.0,0.0,60.0,1.0,1.0,Rest
483717.25,750000.0625,750000.0625,17695.251953125,-348367.34375,750000.0625,452463.875,750000.0625,-0.087646484375,0.965087890625,-0.129150390625,0.0,0.0,0.0,60.0,2.0,1.0,Rest
485363.5,750000.0625,750000.0625,8342.296875,-207181.8125,750000.0625,193941.71875,750000.0625,-0.0908203125,0.96630859375,-0.133544921875,0.0,0.0,0.0,60.0,3.0,1.0,Rest
471339.21875,750000.0625,750000.0625,679771.8125,-23704.3828125,695076.0625,58141.71875,750000.0625,-0.09326171875,0.968017578125,-0.135986328125,0.0,0.0,0.0,60.0,4.0,1.0,Rest
374368.5,541385.5625,750000.0625,291570.75,150183.4375,354585.9375,43397.34375,750000.0625,-0.0947265625,0.9677734375,-0.137451171875,0.0,0.0,0.0,60.0,5.0,1.0,Rest
368042.78125,193715.34375,750000.0625,612291.9375,276640.9375,496349.21875,144573.234375,389811.65625,-0.093505859375,0.96923828125,-0.13623046875,-0.6103515028953552,-0.4577636420726776,-0.6713866591453552,60.0,6.0,1.0,Rest
483721.375,39391.46484375,750000.0625,676903.0625,334705.84375,386421.34375,395789.875,79467.6953125,-0.09521484375,0.968017578125,-0.139404296875,-2.746581792831421,-1.5563963651657104,-4.058837413787842,60.0,7.0,1.0,Rest
553747.625,768.0059814453125,750000.0625,730453.0,354325.6875,-311397.28125,396382.0,2461.0166015625,-0.09619140625,0.968994140625,-0.14013671875,-0.4882812201976776,0.2441406100988388,-1.7089842557907104,60.0,8.0,1.0,Rest
584246.0,72108.34375,750000.0625,750000.0625,379214.625,-663684.3125,443945.4375,0.0,-0.096923828125,0.96875,-0.140380859375,0.2746581733226776,0.7629393935203552,-0.8239745497703552,60.0,9.0,1.0,Rest
624407.625,89827.015625,750000.0625,750000.0625,445161.03125,-750000.125,640765.625,-66192.4609375,-0.095458984375,0.969482421875,-0.142333984375,0.3967284858226776,0.9155272841453552,-0.5798339247703552,60.0,10.0,1.0,Rest
750000.0625,-518038.71875,750000.0625,750000.0625,536467.5625,-469320.40625,750000.0625,-536349.6875,-0.096435546875,0.966796875,-0.141845703125,0.4882812201976776,0.9155272841453552,-0.3662109076976776,60.0,11.0,1.0,Rest
750000.0625,-673701.375,750000.0625,750000.0625,620578.0,-191983.609375,750000.0625,-745536.8125,-0.0947265625,0.968994140625,-0.1376953125,0.4577636420726776,0.8544921278953552,-0.2441406100988388,60.0,12.0,1.0,Rest
750000.0625,-750000.125,750000.0625,750000.0625,720134.0,-32674.228515625,750000.0625,-750000.125,-0.09619140625,0.9716796875,-0.13916015625,0.3967284858226776,0.7934569716453552,-0.1220703050494194,60.0,13.0,1.0,Rest
750000.0625,-733538.75,750000.0625,750000.0625,750000.0625,60139.96484375,750000.0625,-750000.125,-0.096435546875,0.973388671875,-0.138916015625,0.3967284858226776,0.6103515028953552,0.0,60.0,14.0,1.0,Rest
750000.0625,-533073.5,750000.0625,750000.0625,750000.0625,116691.0390625,750000.0625,-750000.125,-0.0986328125,0.974365234375,-0.13623046875,0.3356933295726776,0.4882812201976776,0.1831054538488388,60.0,15.0,1.0,Rest
750000.0625,-387234.5,750000.0625,750000.0625,750000.0625,150458.359375,750000.0625,-579337.75,-0.098388671875,0.9736328125,-0.1357421875,0.2136230319738388,0.3051757514476776,0.2136230319738388,60.0,16.0,1.0,Rest
750000.0625,-280743.90625,750000.0625,750000.0625,750000.0625,170020.15625,750000.0625,-433926.875,-0.09814453125,0.97265625,-0.1357421875,-0.03051757626235485,0.0915527269244194,0.3967284858226776,60.0,17.0,1.0,Rest
750000.0625,-201977.4375,750000.0625,750000.0625,750000.0625,178916.15625,750000.0625,-325014.3125,-0.097412109375,0.974365234375,-0.1376953125,-0.03051757626235485,0.0,0.5493163466453552,60.0,18.0,1.0,Rest
682824.75,-144650.75,750000.0625,750000.0625,750000.0625,183942.4375,750000.0625,-246580.796875,-0.095703125,0.973876953125,-0.139892578125,-0.0610351525247097,-0.1220703050494194,0.5798339247703552,60.0,19.0,1.0,Rest
641596.5,-107201.3828125,750000.0625,750000.0625,750000.0625,196195.75,749126.6875,-197024.375,-0.09375,0.977294921875,-0.139892578125,-0.1220703050494194,-0.2441406100988388,0.6408690810203552,60.0,20.0,1.0,Rest
618645.0,-77252.28125,750000.0625,750000.0625,750000.0625,209940.015625,718707.0625,-158073.953125,-0.091796875,0.978759765625,-0.136962890625,-0.1831054538488388,-0.3662109076976776,0.6103515028953552,60.0,21.0,1.0,Rest
598200.0625,-50690.2734375,750000.0625,750000.0625,750000.0625,221556.578125,691791.8125,-123427.0546875,-0.092041015625,0.9794921875,-0.134765625,-0.1525878757238388,-0.4882812201976776,0.5798339247703552,60.0,22.0,1.0,Rest
579322.9375,-27431.134765625,750000.0625,750000.0625,750000.0625,231316.96875,667270.5,-93029.75,-0.09423828125,0.980712890625,-0.133056640625,-0.3051757514476776,-0.6103515028953552,0.4577636420726776,60.0,23.0,1.0,Rest
561853.9375,-6989.390625,750000.0625,750000.0625,750000.0625,239541.953125,644798.75,-66312.4453125,-0.09375,0.9814453125,-0.132080078125,-0.4577636420726776,-0.7019042372703552,0.4577636420726776,60.0,24.0,1.0,Rest
