EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
321592.09375,403266.875,750000.0625,313925.71875,331347.09375,305775.625,334400.71875,300348.375,-0.00439453125,0.987548828125,-0.024658203125,0.1831054538488388,-0.9460448622703552,-0.8239745497703552,13.333333969116211,25.0,1.0,Rest
313907.46875,393871.8125,750000.0625,306399.78125,323480.53125,298504.4375,326440.34375,293237.8125,-0.004150390625,0.987548828125,-0.025146484375,0.1831054538488388,-0.9155272841453552,-0.7324218153953552,13.333333969116211,26.0,1.0,Rest
306797.1875,385164.75,750000.0625,299401.0,316139.78125,291743.375,319026.8125,286602.9375,-0.003662109375,0.988525390625,-0.024658203125,0.2136230319738388,-0.9155272841453552,-0.5493163466453552,13.333333969116211,27.0,1.0,Rest
300152.75,376970.78125,750000.0625,292877.875,309291.28125,285421.40625,312127.90625,280417.65625,-0.003173828125,0.989013671875,-0.023193359375,0.1220703050494194,-0.9155272841453552,-0.5493163466453552,13.333333969116211,28.0,1.0,Rest
293971.40625,369292.3125,750000.0625,286814.375,302908.25,279531.09375,305697.03125,274647.625,-0.00439453125,0.9892578125,-0.026611328125,0.03051757626235485,-1.0070799589157104,-0.4882812201976776,13.333333969116211,29.0,1.0,Rest
288201.25,362146.46875,750000.0625,281154.46875,296955.625,274042.3125,299690.9375,269256.1875,-0.004150390625,0.989501953125,-0.023681640625,-0.1220703050494194,-0.8850097060203552,-0.3967284858226776,13.333333969116211,30.0,1.0,Rest
282815.84375,355541.34375,750000.0625,275876.6875,291420.53125,268944.34375,294122.0625,264232.15625,-0.003662109375,0.9892578125,-0.025146484375,-0.03051757626235485,-0.8544921278953552,-0.3662109076976776,13.333333969116211,31.0,1.0,Rest
277767.03125,349363.0625,750000.0625,270933.09375,286229.03125,264152.9375,288891.21875,259516.546875,-0.0048828125,0.98828125,-0.02392578125,0.0610351525247097,-0.8544921278953552,-0.3662109076976776,13.333333969116211,32.0,1.0,Rest
272989.125,343466.65625,750000.0625,266253.0,281301.71875,259600.140625,283936.8125,255026.359375,-0.004150390625,0.988525390625,-0.020263671875,0.1220703050494194,-0.7934569716453552,-0.3051757514476776,13.333333969116211,33.0,1.0,Rest
268516.96875,337890.25,750000.0625,261868.484375,276680.46875,255348.3125,279283.1875,250825.65625,-0.00439453125,0.989990234375,-0.017822265625,0.0915527269244194,-0.8544921278953552,-0.2746581733226776,13.333333969116211,34.0,1.0,Rest
264317.96875,332671.59375,750000.0625,257759.34375,272360.125,251372.109375,274938.71875,246896.9375,-0.004638671875,0.990966796875,-0.023681640625,0.0610351525247097,-0.7934569716453552,-0.2441406100988388,13.333333969116211,35.0,1.0,Rest
